idema,anio,dias,verano
1344X,2020,293,48
1347T,2000,304,30
1347T,2005,274,92
1347T,2006,212,0
1347T,2007,182,62
1347T,2008,315,92
1351,2000,329,86
1351,2001,328,85
1351,2003,197,8
1351,2004,314,74
1351,2005,305,73
1351,2006,269,89
1351,2007,291,66
1351,2008,232,63
1351,2009,241,73
1351,2010,252,63
1351,2011,248,73
1351,2012,306,68
1351,2016,329,92
1351,2024,359,86
1354C,2017,333,60
1354C,2025,265,87
1387,1944,356,82
1387,1945,355,82
1387D,2018,256,46
1387E,2015,355,84
1390X,2017,322,92
1393,2000,250,81
1393,2001,243,72
1393,2002,323,67
1393,2003,298,83
1393,2004,283,75
1393,2005,316,77
1393,2006,306,89
1393,2007,315,85
1393,2008,290,84
1393,2009,338,80
1393,2010,223,68
1393,2013,319,86
1393,2015,335,83
1393,2016,240,20
1393,2019,333,67
1393,2022,350,84
1399,1984,305,92
1399,1989,275,30
1399,1990,239,42
1399,1991,119,0
1399,1992,150,28
1399,1995,291,30
1399,1997,295,61
1400,1994,281,72
1400,1995,302,88
1400,1996,252,82
1400,1997,280,60
1400,1998,302,80
1400,1999,183,62
1400,2000,241,68
1400,2001,310,87
1400,2002,160,32
1400,2003,225,69
1400,2004,196,53
1400,2005,281,60
1400,2006,259,84
1400,2007,53,0
1400,2008,162,45
1400,2009,281,75
1400,2010,293,75
1400,2011,254,66
1400,2012,277,78
1400,2013,315,73
1400,2019,230,79
1400,2020,322,92
1410X,2018,322,92
1435C,2018,355,83
1437O,2003,322,61
1437O,2005,333,60
1437O,2011,111,14
1437O,2014,221,92
1437O,2016,165,17
1437O,2017,206,60
1442U,2007,272,30
1442U,2008,303,82
1442U,2018,345,79
1446X,2015,315,90
1446X,2016,280,92
1446X,2017,344,71
1446X,2019,309,86
1455I,2018,328,89
1465U,2024,335,62
1465U,2025,302,92
1466A,2016,345,78
1468X,2016,301,52
1473A,2000,242,56
1473A,2001,226,67
1473A,2002,255,44
1473A,2003,277,66
1473A,2005,229,83
1473A,2006,266,57
1473A,2010,314,80
1473A,2013,321,91
1473A,2014,326,90
1473A,2022,330,81
1475X,2000,341,86
1475X,2001,340,82
1475X,2002,317,74
1475X,2003,318,68
1475X,2004,330,79
1475X,2006,324,66
1475X,2010,340,86
1475X,2011,333,76
1475X,2018,321,71
1475X,2019,353,86
1476R,2008,318,92
1476R,2013,343,78
1476R,2014,318,75
1476R,2018,309,92
1477U,2023,273,92
1477V,2016,342,68
1477V,2018,356,84
1484,1985,273,92
1486E,1994,153,92
1486E,2022,312,91
1495,1960,9,0
1496X,2022,325,55
1505,2001,304,92
1505,2002,153,31
1518A,1995,335,62
1518A,2000,153,30
1518A,2001,180,30
1518A,2002,241,62
1518A,2003,277,67
1518A,2004,235,22
1518A,2008,337,85
1521I,2001,122,0
1521I,2005,286,92
1521I,2006,334,61
1521I,2008,190,37
1521I,2022,340,78
1583X,2016,315,92
1583X,2018,315,92
1583X,2020,343,82
1631E,2000,260,83
1631E,2001,295,91
1631E,2002,342,81
1631E,2003,316,81
1631E,2004,285,71
1631E,2005,293,75
1631E,2006,264,56
1631E,2007,229,67
1631E,2008,157,35
1631E,2009,246,72
1631E,2010,248,86
1631E,2011,314,72
1631E,2012,245,71
1631E,2015,358,86
1631E,2023,340,77
1639X,2018,354,82
1658,2008,165,43
1658,2010,247,48
1658,2011,238,91
1658,2012,315,85
1658,2016,277,92
1658,2018,338,81
1658,2021,299,77
1679A,1960,246,31
1679A,1961,276,92
1679A,1962,245,92
1679A,1963,215,92
1679A,1967,242,61
1679A,1968,305,92
1679A,1969,306,92
1679A,1972,335,61
1679A,1976,306,61
1679A,1985,334,61
1679A,1995,355,82
1679A,1996,355,81
1679A,2003,243,92
1679A,2008,72,0
1679A,2011,261,92
1690A,1982,213,62
1690A,1983,304,92
1690A,2022,294,92
1690B,1968,273,70
1690B,1969,90,0
1696O,2008,74,0
1700X,2003,337,75
1700X,2004,338,82
1700X,2008,342,73
1700X,2014,333,72
1700X,2021,349,86
1700X,2023,358,85
1706A,2005,271,31
1706A,2007,302,92
1719,2002,184,62
1719,2003,272,30
1719,2004,151,0
1719,2005,144,56
1719,2007,150,30
1719,2008,66,0
1719,2009,233,88
1719,2010,185,76
1723X,2015,320,74
1735X,2015,312,89
1735X,2016,297,91
1735X,2017,271,58
1735X,2018,310,89
1738U,2000,334,61
1738U,2005,304,61
1738U,2008,159,0
2969U,2010,327,90
2969U,2013,328,92
2969U,2020,293,81
2969U,2025,320,92
2978X,2015,327,92
