idema,anio,n,tx_p99,tx_max,d_tx30,d_tx32,n_verano,tx_verano,tmed,nombre
1297E,2015,354,31.82899999999998,34.7,16.0,4.0,92,25.270652173913053,11.676836158192092,Cervantes
1297E,2016,366,33.470000000000006,36.0,20.0,8.0,92,24.855434782608693,11.268306010928962,Cervantes
1297E,2017,365,32.66000000000001,36.1,14.0,5.0,92,24.507608695652173,12.165205479452055,Cervantes
1297E,2018,365,33.30800000000001,35.3,11.0,7.0,92,23.411956521739125,10.93808219178082,Cervantes
1297E,2019,359,30.784000000000002,33.3,6.0,1.0,92,22.770652173913046,11.207799442896937,Cervantes
1297E,2020,363,31.3,34.3,12.0,3.0,92,23.210869565217386,11.726170798898073,Cervantes
1297E,2021,361,29.3,31.1,3.0,0.0,91,22.492307692307694,10.979224376731302,Cervantes
1297E,2022,353,34.648,36.3,22.0,12.0,92,25.297826086956526,12.426345609065155,Cervantes
1297E,2023,364,32.907000000000004,37.0,7.0,5.0,91,23.88791208791209,12.005219780219779,Cervantes
1297E,2024,365,32.080000000000005,34.7,7.0,4.0,91,24.0021978021978,11.550410958904111,Cervantes
1297E,2025,364,34.274,36.5,31.0,16.0,92,25.794565217391302,11.829395604395604,Cervantes
1342X,2015,332,29.445,30.5,2.0,0.0,92,22.29565217391304,14.737650602409637,Ribadeo
1342X,2016,365,24.744000000000007,26.5,0.0,0.0,92,21.352173913043476,14.013972602739724,Ribadeo
1342X,2017,363,27.876,35.2,2.0,1.0,92,21.545652173913044,14.285123966942148,Ribadeo
1342X,2018,355,26.445999999999998,29.7,0.0,0.0,91,21.585714285714285,14.32056338028169,Ribadeo
1342X,2019,360,27.8,31.8,2.0,0.0,91,21.716483516483514,14.325,Ribadeo
1342X,2020,360,27.651000000000028,30.3,1.0,0.0,92,21.786956521739132,14.978333333333333,Ribadeo
1342X,2021,363,27.238,32.4,2.0,1.0,92,20.950000000000003,14.255922865013773,Ribadeo
1342X,2022,349,26.6,27.9,0.0,0.0,92,21.860869565217392,14.934957020057304,Ribadeo
1342X,2023,365,30.236,33.2,7.0,2.0,92,24.288043478260864,15.656712328767126,Ribadeo
1342X,2024,356,27.444999999999997,27.9,0.0,0.0,92,22.255434782608695,15.110393258426967,Ribadeo
1342X,2025,352,26.8,27.9,0.0,0.0,91,22.958241758241755,15.153125,Ribadeo
1344X,2015,344,31.941999999999997,33.2,9.0,4.0,92,24.867391304347823,14.427616279069769,Mondoñedo
1344X,2016,365,32.50800000000004,36.6,8.0,4.0,92,23.597826086956516,13.72054794520548,Mondoñedo
1344X,2017,365,29.9,34.9,3.0,2.0,92,23.37717391304348,13.997808219178085,Mondoñedo
1344X,2018,365,28.372000000000003,30.4,1.0,0.0,92,22.37608695652174,13.69369863013699,Mondoñedo
1344X,2019,364,28.785000000000004,34.5,3.0,3.0,92,22.582608695652173,13.687912087912087,Mondoñedo
1344X,2021,365,27.536,33.5,1.0,1.0,92,21.55,13.630958904109592,Mondoñedo
1344X,2022,364,28.711000000000002,34.5,3.0,2.0,92,22.85,14.495879120879124,Mondoñedo
1344X,2023,364,35.048,37.7,20.0,8.0,91,25.748351648351647,15.25,Mondoñedo
1344X,2024,365,30.51600000000001,36.9,8.0,3.0,92,23.76195652173913,14.78986301369863,Mondoñedo
1344X,2025,363,31.566,37.1,6.0,4.0,90,25.137777777777774,14.829752066115702,Mondoñedo
1347T,2001,365,26.0,27.0,0.0,0.0,92,21.847826086956523,14.408219178082192,Burela
1347T,2002,365,23.0,27.0,0.0,0.0,92,18.91304347826087,13.53972602739726,Burela
1347T,2003,365,25.0,29.0,0.0,0.0,92,20.67391304347826,13.158904109589042,Burela
1347T,2004,366,25.0,29.0,0.0,0.0,92,20.41304347826087,12.887978142076502,Burela
1347T,2009,351,26.200000000000003,27.0,0.0,0.0,92,20.940217391304344,14.140740740740739,Burela
1347T,2010,360,26.733000000000033,27.8,0.0,0.0,90,21.154444444444444,13.978611111111112,Burela
1347T,2011,365,27.072000000000003,30.5,1.0,0.0,92,20.916304347826088,14.858082191780824,Burela
1347T,2012,366,26.975000000000012,30.0,1.0,0.0,92,21.72065217391304,14.28032786885246,Burela
1347T,2013,365,25.708000000000006,27.5,0.0,0.0,92,20.879347826086956,14.26054794520548,Burela
1347T,2014,365,27.008000000000003,29.5,0.0,0.0,92,21.77608695652174,14.872602739726027,Burela
