lat,lon,provincia,en_tierra,dist_costa_km
41.9,-8.9,Pontevedra,0,0.8
41.9,-8.2,Ourense,1,57.7
41.9,-8.1,Ourense,1,64.1
41.9,-8.0,Ourense,1,70.7
41.9,-7.8,Ourense,1,84.8
41.9,-7.6,Ourense,1,99.6
41.9,-7.5,Ourense,1,107.2
41.9,-7.4,Ourense,1,114.9
41.9,-7.3,Ourense,1,122.7
41.9,-7.2,Ourense,1,130.5
42.0,-8.9,Pontevedra,0,0.8
42.0,-8.8,Pontevedra,1,8.4
42.0,-8.7,Pontevedra,1,16.6
42.0,-8.1,Ourense,1,57.7
42.0,-8.0,Ourense,1,65.0
42.0,-7.9,Ourense,1,72.4
42.0,-7.8,Ourense,1,80.0
42.0,-7.7,Ourense,1,87.8
42.0,-7.6,Ourense,1,95.6
42.0,-7.5,Ourense,1,103.4
42.0,-7.4,Ourense,1,111.4
42.0,-7.3,Ourense,1,119.4
42.0,-7.2,Ourense,1,127.4
42.0,-7.1,Ourense,1,135.4
42.0,-7.0,Ourense,1,143.5
42.1,-8.9,Pontevedra,1,0.8
42.1,-8.8,Pontevedra,1,4.5
42.1,-8.7,Pontevedra,1,12.0
42.1,-8.6,Pontevedra,1,19.1
42.1,-8.5,Pontevedra,1,24.4
42.1,-8.4,Pontevedra,1,30.9
42.1,-8.1,Ourense,1,52.9
42.1,-8.0,Ourense,1,60.7
42.1,-7.9,Ourense,1,68.6
42.1,-7.8,Ourense,1,76.6
42.1,-7.7,Ourense,1,84.6
42.1,-7.6,Ourense,1,92.7
42.1,-7.5,Ourense,1,100.8
42.1,-7.4,Ourense,1,108.9
42.1,-7.3,Ourense,1,117.0
42.1,-7.2,Ourense,1,125.2
42.1,-7.1,Ourense,1,133.3
42.1,-7.0,Ourense,1,141.5
42.2,-8.9,Pontevedra,1,0.8
42.2,-8.8,Pontevedra,0,0.8
42.2,-8.7,Pontevedra,1,5.5
42.2,-8.6,Pontevedra,1,11.1
42.2,-8.5,Pontevedra,1,18.1
42.2,-8.4,Pontevedra,1,25.9
42.2,-8.3,Pontevedra,1,33.9
42.2,-8.2,Pontevedra,1,42.0
42.2,-8.1,Ourense,1,50.1
42.2,-8.0,Ourense,1,58.3
42.2,-7.9,Ourense,1,66.4
42.2,-7.8,Ourense,1,74.6
42.2,-7.7,Ourense,1,82.8
42.2,-7.6,Ourense,1,91.0
42.2,-7.5,Ourense,1,99.3
42.2,-7.4,Ourense,1,107.5
42.2,-7.3,Ourense,1,115.7
42.2,-7.2,Ourense,1,123.9
42.2,-7.1,Ourense,1,132.2
42.2,-7.0,Ourense,1,140.4
42.2,-6.9,Ourense,1,148.6
42.3,-8.9,Pontevedra,0,0.8
42.3,-8.8,Pontevedra,1,1.9
42.3,-8.7,Pontevedra,1,3.6
42.3,-8.6,Pontevedra,1,9.1
42.3,-8.5,Pontevedra,1,17.0
42.3,-8.4,Pontevedra,1,25.1
42.3,-8.3,Pontevedra,1,33.2
42.3,-8.2,Ourense,1,41.4
42.3,-8.1,Ourense,1,49.6
42.3,-8.0,Ourense,1,57.8
42.3,-7.9,Ourense,1,66.1
42.3,-7.8,Ourense,1,74.3
42.3,-7.7,Ourense,1,82.5
42.3,-7.6,Ourense,1,90.7
42.3,-7.5,Ourense,1,99.0
42.3,-7.4,Ourense,1,107.2
42.3,-7.3,Ourense,1,115.4
42.3,-7.2,Ourense,1,123.7
42.3,-7.1,Ourense,1,131.9
42.3,-7.0,Ourense,1,140.1
42.3,-6.9,Ourense,1,140.1
42.3,-6.8,Ourense,1,139.5
42.4,-9.0,Pontevedra,0,0.8
42.4,-8.9,Pontevedra,0,0.8
42.4,-8.8,Pontevedra,1,1.4
42.4,-8.7,Pontevedra,0,0.8
42.4,-8.6,Pontevedra,1,8.3
42.4,-8.5,Pontevedra,1,16.5
42.4,-8.4,Pontevedra,1,24.8
42.4,-8.3,Ourense,1,33.0
42.4,-8.2,Ourense,1,41.2
42.4,-8.1,Ourense,1,49.4
42.4,-8.0,Ourense,1,57.6
42.4,-7.9,Ourense,1,65.8
42.4,-7.8,Ourense,1,74.1
42.4,-7.7,Ourense,1,82.3
42.4,-7.6,Lugo,1,90.5
42.4,-7.5,Lugo,1,98.7
42.4,-7.4,Ourense,1,106.9
42.4,-7.3,Ourense,1,115.2
42.4,-7.2,Lugo,1,123.4
42.4,-7.1,Ourense,1,129.0
42.4,-7.0,Ourense,1,129.0
42.4,-6.9,Ourense,1,129.0
42.5,-9.1,A Coruña,0,0.8
42.5,-9.0,A Coruña,0,0.8
42.5,-8.9,Pontevedra,0,0.8
42.5,-8.8,Pontevedra,1,1.9
42.5,-8.7,Pontevedra,1,8.1
42.5,-8.6,Pontevedra,1,11.6
42.5,-8.5,Pontevedra,1,18.4
42.5,-8.4,Pontevedra,1,26.0
42.5,-8.3,Pontevedra,1,33.9
42.5,-8.2,Ourense,1,41.9
42.5,-8.1,Ourense,1,50.0
42.5,-8.0,Ourense,1,58.1
42.5,-7.9,Ourense,1,66.3
42.5,-7.8,Lugo,1,74.4
42.5,-7.7,Lugo,1,82.6
42.5,-7.6,Lugo,1,90.8
42.5,-7.5,Lugo,1,99.0
42.5,-7.4,Lugo,1,107.1
42.5,-7.3,Lugo,1,115.3
42.5,-7.2,Lugo,1,118.0
42.5,-7.1,Lugo,1,118.0
42.5,-6.9,Ourense,1,118.0
42.6,-9.1,A Coruña,0,0.8
42.6,-9.0,A Coruña,1,4.0
42.6,-8.9,A Coruña,0,0.8
42.6,-8.8,Pontevedra,0,0.8
42.6,-8.7,Pontevedra,1,6.7
42.6,-8.6,Pontevedra,1,14.9
42.6,-8.5,Pontevedra,1,23.0
42.6,-8.4,Pontevedra,1,31.2
42.6,-8.3,Pontevedra,1,38.1
42.6,-8.2,Pontevedra,1,45.3
42.6,-8.1,Pontevedra,1,52.9
42.6,-8.0,Pontevedra,1,60.6
42.6,-7.9,Lugo,1,68.5
42.6,-7.8,Lugo,1,76.4
42.6,-7.7,Lugo,1,84.3
42.6,-7.6,Lugo,1,92.3
