id,concello,provincia,lat,lon,alt,n_anios,escenario,periodo,hipotesis,tx_p99,d_tx30,noches_trop,cdd,ola_dias,ola_max,hx_p99,d_hx30,d_hx35,d_hx40,hr_verano,d_tx,d_tmean
10157,A CORUÑA,A Coruña,43.383,-8.409,21.0,12,-,hoy,medido,28.06,1.5,1.0,149.456,3.167,4.0,38.669,49.25,10.75,2.25,81.694,,
10157,A CORUÑA,A Coruña,43.383,-8.409,21.0,12,ssp126,near_future,rocio_fijo,28.995,1.75,4.083,262.827,3.167,4.0,39.604,61.75,15.167,3.167,77.182,0.935,1.02
10157,A CORUÑA,A Coruña,43.383,-8.409,21.0,12,ssp126,near_future,hr_fija,28.995,1.75,4.083,262.827,3.167,4.0,40.46,72.167,20.917,3.75,81.694,0.935,1.02
10157,A CORUÑA,A Coruña,43.383,-8.409,21.0,12,ssp126,medium_future,rocio_fijo,29.547,2.5,8.25,329.747,3.167,4.0,40.156,69.833,19.167,3.5,74.651,1.487,1.516
10157,A CORUÑA,A Coruña,43.383,-8.409,21.0,12,ssp126,medium_future,hr_fija,29.547,2.5,8.25,329.747,3.167,4.0,41.595,87.417,28.167,5.167,81.694,1.487,1.516
10157,A CORUÑA,A Coruña,43.383,-8.409,21.0,12,ssp126,far_future,rocio_fijo,29.53,2.5,8.167,323.406,3.167,4.0,40.139,69.75,18.75,3.5,74.727,1.47,1.471
10157,A CORUÑA,A Coruña,43.383,-8.409,21.0,12,ssp126,far_future,hr_fija,29.53,2.5,8.167,323.406,3.167,4.0,41.56,86.917,27.667,5.083,81.694,1.47,1.471
10157,A CORUÑA,A Coruña,43.383,-8.409,21.0,12,ssp245,near_future,rocio_fijo,28.951,1.75,5.417,284.245,3.167,4.0,39.56,61.333,14.917,3.167,77.388,0.891,1.184
10157,A CORUÑA,A Coruña,43.383,-8.409,21.0,12,ssp245,near_future,hr_fija,28.951,1.75,5.417,284.245,3.167,4.0,40.374,70.917,20.333,3.75,81.694,0.891,1.184
10157,A CORUÑA,A Coruña,43.383,-8.409,21.0,12,ssp245,medium_future,rocio_fijo,29.804,2.75,12.917,378.382,3.167,4.0,40.413,73.667,20.75,3.75,73.504,1.744,1.849
