fecha,tmax_media_galicia
2021-05-30,25.009999999999998
2021-05-31,26.33
2021-06-07,24.314999999999998
2021-06-09,24.865000000000002
2021-06-10,26.009999999999998
2021-06-11,25.27
2021-06-12,28.43
2021-06-13,27.509999999999998
2021-06-14,28.1
2021-06-15,29.335
2021-06-24,24.07
2021-06-25,26.41
2021-07-01,23.82
2021-07-09,24.88
2021-07-10,26.07
2021-07-11,23.81
2021-07-15,27.51
2021-07-16,31.64
2021-07-17,32.59
2021-07-18,27.28
2021-07-19,26.32
2021-07-21,24.75
2021-07-26,24.0
2021-07-28,23.77
2021-07-29,24.61
2021-08-09,24.87
2021-08-10,26.16
2021-08-11,27.95
2021-08-12,27.0
2021-08-13,29.87
2021-08-14,27.93
2021-08-15,25.9
2021-08-17,24.04
2021-08-18,23.88
2021-08-19,25.55
2021-08-20,24.57
2021-08-21,23.72
2021-08-22,26.7
2021-08-23,30.17
2021-08-24,30.09
2021-08-25,27.03
2021-08-26,26.41
2021-08-27,28.36
2021-08-30,23.94
2021-08-31,26.89
2021-09-04,25.13
2021-09-05,29.97
2021-09-06,30.17
2021-09-11,25.03
2021-09-12,26.89
2022-05-14,26.77
2022-05-27,28.66
2022-05-28,29.73
2022-06-13,28.89
2022-06-14,28.19
2022-06-15,28.91
2022-06-16,26.79
2022-06-17,28.06
2022-07-07,28.33
2022-07-08,30.63
2022-07-09,32.85
2022-07-10,31.62
2022-07-11,30.08
2022-07-12,37.22
2022-07-13,36.12
2022-07-14,35.93
2022-07-15,31.33
2022-07-16,31.36
2022-07-17,33.565
2022-07-20,26.39
2022-07-21,27.95
2022-07-23,28.64
2022-07-24,26.22
2022-07-30,30.19
2022-07-31,33.08
2022-08-01,32.58
2022-08-02,30.33
2022-08-03,27.79
2022-08-04,27.75
2022-08-05,26.78
2022-08-06,28.25
2022-08-07,27.95
2022-08-08,29.47
2022-08-09,30.97
2022-08-10,28.19
2022-08-11,28.39
2022-08-12,27.9
2022-08-19,29.15
2022-08-20,29.07
2022-08-22,27.69
2022-08-23,30.57
2022-08-24,26.6
2022-08-26,27.25
2022-08-27,27.97
2022-08-28,29.08
2022-09-10,27.4
2022-09-11,27.96
2022-09-18,28.01
2022-09-19,28.58
2022-09-20,27.42
2023-05-02,26.865
2023-06-06,27.57
2023-06-15,27.395
2023-06-16,26.729999999999997
2023-06-23,28.735
2023-06-24,30.775
2023-06-25,26.305
2023-06-26,25.035
2023-06-27,26.939999999999998
2023-06-28,25.810000000000002
2023-07-01,25.61
2023-07-02,26.98
2023-07-03,25.445
2023-07-10,26.81
2023-07-13,26.22
2023-07-17,27.405
2023-07-18,25.97
2023-07-19,25.655
2023-07-26,27.375
2023-07-30,25.380000000000003
2023-07-31,25.64
2023-08-05,27.17
2023-08-06,26.92
2023-08-07,30.895000000000003
2023-08-08,33.205
2023-08-09,26.935
2023-08-10,27.79
2023-08-11,27.975
2023-08-12,25.445
2023-08-13,25.75
2023-08-14,25.255000000000003
2023-08-15,25.065
2023-08-16,26.35
2023-08-17,25.48
2023-08-18,25.54
2023-08-20,26.755000000000003
2023-08-21,30.425
2023-08-22,35.480000000000004
2023-08-23,35.885000000000005
2023-08-24,27.05
2023-08-31,25.515
2023-09-03,25.0
2023-09-06,26.759999999999998
2023-09-07,26.875
2023-09-08,26.615000000000002
2023-09-13,25.075
2023-09-14,27.765
2023-09-25,24.99
2023-09-29,27.439999999999998
2023-09-30,31.18
2024-05-09,25.2
2024-05-10,25.92
2024-06-03,25.92
2024-06-04,25.55
2024-06-07,27.73
2024-06-24,28.08
2024-06-27,26.2
2024-07-02,26.04
2024-07-03,25.91
2024-07-04,29.02
2024-07-05,27.07
2024-07-17,26.23
2024-07-18,26.45
2024-07-19,26.81
2024-07-22,30.49
2024-07-23,32.59
2024-07-24,30.24
2024-07-25,26.99
2024-07-26,26.77
2024-07-27,26.83
2024-07-28,30.6
2024-07-29,32.14
2024-07-30,30.95
2024-07-31,27.1
2024-08-03,27.71
2024-08-04,29.05
2024-08-05,26.64
2024-08-06,25.85
2024-08-07,26.59
2024-08-08,27.94
2024-08-09,30.54
2024-08-10,33.0
2024-08-11,30.81
2024-08-12,25.43
2024-08-15,28.84
2024-08-16,31.51
2024-08-17,26.76
2024-08-18,26.13
2024-08-19,27.66
