n_dias,d_tx30,d_tx32,d_tx35,tx_p99,tx_max,tx_verano,noches_trop,tmean,d_helada,hx_p99,d_hx35,estacion,anio,id,concello,provincia,lat,lon,alt
365,7.0,3.0,0.0,31.587600000000002,33.38,23.973260869565213,0.0,13.067013698630138,30.0,42.625283758610294,34.0,10045,2010,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
365,9.0,4.0,1.0,32.034000000000006,35.96,22.611413043478255,0.0,13.845712328767124,12.0,43.10193183180618,29.0,10045,2011,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
366,11.0,3.0,0.0,31.775500000000005,34.57,23.07608695652174,0.0,13.151912568306011,35.0,45.063004997698236,32.0,10045,2012,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
365,18.0,7.0,3.0,33.92120000000001,35.96,24.377173913043475,0.0,13.362054794520548,18.0,48.35214352493668,41.0,10045,2013,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
365,8.0,1.0,1.0,30.406800000000004,37.82,23.953260869565216,0.0,14.219246575342465,4.0,43.57963176776827,51.0,10045,2014,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
365,4.0,0.0,0.0,29.782800000000005,31.58,24.843695652173917,1.0,14.216136986301368,12.0,41.00939154207189,45.0,10045,2015,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
366,13.0,7.0,3.0,33.41550000000004,36.11,25.215434782608696,0.0,13.827609289617488,21.0,49.12387551583046,52.0,10045,2016,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
365,13.0,9.0,3.0,33.72040000000001,38.5,24.94391304347826,0.0,14.155465753424657,27.0,48.65838669321847,53.0,10045,2017,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
365,15.0,8.0,1.0,33.35960000000001,36.38,24.441413043478256,0.0,13.701013698630137,17.0,50.66656624373252,60.0,10045,2018,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
365,7.0,3.0,0.0,30.730400000000003,34.02,23.53228260869565,0.0,13.466917808219176,24.0,44.68152381363223,44.0,10045,2019,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
366,11.0,5.0,1.0,32.59000000000004,36.41,23.903369565217393,0.0,14.268879781420765,10.0,47.80884594255223,51.0,10045,2020,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
365,8.0,4.0,1.0,32.33480000000003,35.76,23.431630434782605,0.0,13.510178082191782,28.0,46.59876848672205,36.0,10045,2021,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
365,18.0,9.0,5.0,35.74280000000001,38.14,25.627065217391305,0.0,14.446753424657535,33.0,53.29757545461429,57.0,10045,2022,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
365,13.0,8.0,3.0,34.52080000000001,39.49,26.625108695652177,0.0,15.085671232876713,32.0,52.97240368607494,95.0,10045,2023,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
366,5.0,3.0,0.0,31.095000000000013,33.64,24.363152173913043,0.0,14.526243169398906,11.0,46.958215821991345,52.0,10045,2024,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
365,13.0,5.0,1.0,32.851200000000006,37.44,25.85684782608696,0.0,14.543178082191782,15.0,48.22296890692113,72.0,10045,2025,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
365,0.0,0.0,0.0,27.821600000000004,29.59,20.656521739130437,0.0,10.61995890410959,31.0,37.54813666538541,8.0,10046,2010,10046,MONFERO,A Coruña,43.343082,-7.8944,651.0
365,3.0,0.0,0.0,27.5972,31.55,18.94728260869565,1.0,11.632479452054794,3.0,37.142075541881596,9.0,10046,2011,10046,MONFERO,A Coruña,43.343082,-7.8944,651.0
366,2.0,0.0,0.0,29.44250000000001,30.25,19.34195652173913,0.0,10.851680327868852,8.0,38.18321689749089,11.0,10046,2012,10046,MONFERO,A Coruña,43.343082,-7.8944,651.0
