lat,lon,altitud,tierra,anom_altitud,residuo,sospechoso,wrf_tx_medio,wrf_tx_p90,wrf_tx_max,wrf_n_ge32,wrf_n_ge35,wrf_n_ge38,wrf_hx_medio,wrf_hx_p90,wrf_n_hx35,anom_tx_medio,anom_tx_p90,anom_hx_p90,tx_p99_1km,tx_verano_1km,hx_p99_1km,nota
42.9218,-9.2942,14.0,1,-30.2,-3.86,0,20.02,22.17,30.57,0,0,0,24.91,27.85,1,-3.68,-5.25,-5.18,19.91,16.46,25.42,-4.60601065025479
42.9318,-9.2455,36.0,1,-32.4,-3.56,0,20.55,22.46,30.89,0,0,0,25.28,28.13,0,-3.36,-5.0,-5.02,20.16,16.78,25.58,-4.508775237426256
42.9321,-9.2332,2.7,1,-66.8,-3.86,0,20.67,22.6,31.87,0,0,0,25.49,28.45,1,-3.43,-5.04,-4.84,20.12,16.71,25.76,-4.480115133328546
42.922,-9.2819,28.7,1,-20.1,-3.56,0,20.14,22.33,30.32,0,0,0,24.94,27.87,0,-3.43,-4.86,-4.93,20.3,16.71,25.67,-4.454237379452101
43.0122,-9.2734,28.5,1,-58.5,-3.68,0,20.28,22.01,30.94,0,0,0,25.19,27.88,0,-3.31,-4.92,-4.58,20.24,16.83,26.02,-4.394041865270411
43.1222,-9.1793,0.2,1,-48.8,-3.25,0,20.06,21.95,33.0,1,0,0,24.88,27.53,1,-2.94,-3.98,-3.83,20.96,17.04,26.85,-4.034601148992124
43.1402,-9.18,22.0,1,-26.3,-2.98,0,19.93,21.56,31.18,0,0,0,24.71,27.25,1,-2.82,-3.94,-3.75,21.0,17.16,26.93,-4.007343839475673
43.1219,-9.1916,0.1,1,-38.6,-3.07,0,19.94,21.79,31.25,0,0,0,24.77,27.31,1,-2.83,-3.78,-3.75,21.16,17.15,26.93,-3.967136033550373
43.1312,-9.1796,7.6,1,-40.1,-3.07,0,20.03,21.83,31.29,0,0,0,24.83,27.51,1,-2.81,-3.81,-3.63,21.13,17.17,27.05,-3.948866960108677
43.1309,-9.1919,7.3,1,-29.7,-2.83,0,19.91,21.64,30.79,0,0,0,24.73,27.44,1,-2.65,-3.57,-3.33,21.37,17.33,27.35,-3.8240351585890027
43.2525,-8.9621,-0.0,1,-76.1,-3.59,0,19.72,21.99,31.08,0,0,0,24.5,27.7,1,-3.1,-3.96,-3.66,21.28,17.08,27.6,-3.792885305562214
43.4698,-8.3256,34.2,1,-46.0,-3.69,0,20.86,23.09,33.1,1,0,0,25.71,28.85,1,-3.4,-5.15,-4.78,21.23,17.35,27.91,-3.7387794825277556
43.4607,-8.3378,1.4,1,-68.2,-3.81,0,20.65,22.89,33.28,1,0,0,25.6,28.9,1,-3.38,-4.93,-4.42,21.42,17.34,28.21,-3.6265126203597378
43.2615,-8.9625,8.8,1,-72.2,-3.39,0,19.75,21.97,30.03,0,0,0,24.5,27.79,1,-2.93,-3.79,-3.39,22.18,17.32,28.93,-3.280677319898426
43.2612,-8.9748,5.0,1,-67.2,-3.21,0,19.67,21.83,29.96,0,0,0,24.45,27.64,1,-2.78,-3.5,-3.25,22.47,17.47,29.07,-3.1776912950973486
43.7211,-7.4737,0.4,1,-29.5,-2.94,0,19.66,21.24,27.6,0,0,0,25.1,27.62,1,-2.75,-3.92,-3.15,23.18,18.75,30.29,-2.736887446268152
43.5601,-8.3031,3.7,1,-41.2,-1.4,0,22.18,24.91,30.13,0,0,0,27.13,30.35,0,-1.14,-1.93,-2.16,23.81,19.38,29.77,-2.690404037665605
43.0672,-9.2264,212.1,1,90.5,-0.43,0,22.2,25.59,32.38,1,0,0,26.86,31.0,4,-1.02,-1.1,-0.89,23.84,18.96,29.79,-2.678563734545829
43.3078,-8.89,100.7,1,30.3,-0.83,0,21.82,24.88,31.82,0,0,0,26.57,29.91,2,-1.03,-1.14,-1.42,23.97,19.18,29.68,-2.6695522595298216
43.0846,-9.2517,13.8,1,-95.8,-1.0,0,22.41,25.26,29.79,0,0,0,27.45,30.53,2,-0.39,-0.93,-0.91,24.01,19.59,29.77,-2.640144280258979
42.9776,-9.2104,178.3,1,52.6,-0.55,0,23.61,27.2,32.65,4,0,0,28.23,32.36,7,-0.9,-0.83,-1.08,24.33,19.24,29.52,-2.613495412268149
43.7112,-7.6104,5.8,1,-57.3,-2.65,0,20.37,22.4,26.6,0,0,0,25.62,28.5,0,-2.29,-3.6,-3.0,23.57,19.15,30.48,-2.5980181939918077
43.0762,-9.2267,154.7,1,44.5,-0.55,0,22.37,25.83,32.69,1,0,0,27.12,31.11,5,-0.85,-0.84,-0.76,24.1,19.13,29.92,-2.585267343110135
43.0579,-9.2383,198.1,1,66.9,-0.19,0,22.47,25.92,32.05,1,0,0,27.18,30.89,4,-0.63,-0.67,-0.92,24.27,19.35,29.76,-2.576957265384757
43.0759,-9.239,132.0,1,19.3,-0.49,0,22.44,25.7,32.14,1,0,0,27.27,30.98,3,-0.62,-0.81,-0.71,24.13,19.36,29.97,-2.5669750307271886
43.1764,-9.1691,56.9,1,-29.1,-0.72,0,22.21,25.06,31.07,0,0,0,27.01,30.34,1,-0.54,-0.7,-0.8,24.24,19.44,29.88,-2.5586881919430615
41.9227,-8.8788,162.2,1,78.5,-2.28,0,23.49,27.8,32.97,5,0,0,27.78,32.17,7,-2.79,-3.24,-2.8,24.21,19.0,29.96,-2.549021797518928
42.9686,-9.2101,145.4,1,22.7,-0.61,0,23.77,27.21,33.2,4,0,0,28.39,32.72,8,-0.76,-0.83,-0.78,24.33,19.38,29.82,-2.5489753196364253
43.3168,-8.8903,43.1,1,-21.9,-0.85,0,22.05,24.88,29.65,0,0,0,26.82,30.19,1,-0.71,-0.99,-0.92,24.12,19.5,30.18,-2.5243239537553124
42.9683,-9.2224,199.0,1,89.6,-0.13,0,23.65,27.06,32.71,3,0,0,28.31,32.67,10,-0.72,-0.79,-0.68,24.37,19.42,29.92,-2.5174166706111913
43.7071,-8.0457,130.5,1,-21.4,-1.33,0,21.73,25.39,30.61,0,0,0,26.53,30.53,4,-1.2,-1.97,-1.92,24.14,19.51,30.2,-2.514996638505868
43.1766,-9.1568,106.0,1,13.9,-0.35,0,22.3,25.11,30.76,0,0,0,27.1,30.62,3,-0.44,-0.73,-0.55,24.21,19.54,30.13,-2.512460411694285
43.3692,-8.4467,48.6,1,10.3,-1.72,0,23.03,26.51,32.6,1,0,0,27.87,31.51,4,-1.79,-2.57,-2.26,23.96,18.97,30.45,-2.5064636763120607
