Dias calidos usados: 251 (2021-2026)
Conjunto WRF: https://thredds.meteogalicia.gal/thredds/catalog/modelos/WRF_ARW_1KM_HIST/catalog.xml
Puntos de rejilla: 60,690
Puntos en tierra: 40,050 (66%)

--- 20 puntos mas frescos por wrf_tx_p90 ---
    lat     lon  altitud  wrf_tx_p90  anom_tx_medio
42.1948 -6.7637   1804.2   20.459999          -4.25
42.1948 -6.7758   1649.7   20.809999          -3.84
43.7211 -7.4737      0.4   21.240000          -2.75
43.1402 -9.1800     22.0   21.559999          -2.82
43.7736 -7.6735     11.7   21.590000          -1.91
43.1309 -9.1919      7.3   21.639999          -2.65
43.1219 -9.1916      0.1   21.790001          -2.83
43.1312 -9.1796      7.6   21.830000          -2.81
43.2612 -8.9748      5.0   21.830000          -2.78
43.1222 -9.1793      0.2   21.950001          -2.94
43.2615 -8.9625      8.8   21.969999          -2.93
43.2525 -8.9621     -0.0   21.990000          -3.10
43.0122 -9.2734     28.5   22.010000          -3.31
42.9218 -9.2942     14.0   22.170000          -3.68
42.2191 -8.9011      0.2   22.290001            NaN
42.9765 -9.2596     38.2   22.299999          -3.69
43.2289 -6.8260    973.5   22.299999          -5.95
42.9220 -9.2819     28.7   22.330000          -3.43
42.8864 -9.2682      0.3   22.360001            NaN
43.3758 -7.9149    434.2   22.370001          -4.15

--- 10 puntos mas calurosos ---
    lat     lon  altitud  wrf_tx_p90  anom_tx_medio
42.3420 -7.8710    122.0   37.150002           1.09
42.4193 -6.9831    336.6   37.150002           2.51
42.3330 -7.8708    130.5   37.139999           1.11
42.3421 -7.8588    166.2   37.119999           0.94
42.4193 -6.9953    313.2   37.099998           2.46
42.3510 -7.8711    120.4   37.080002           1.17
42.3511 -7.8590    132.3   37.080002           1.45
42.4193 -7.0074    315.2   37.049999           2.33
42.3240 -7.8706    135.8   37.029999           1.19
42.3601 -7.8591    135.8   36.980000           1.82

--- cuanto de esto es solo altitud? ---
  correlacion altitud vs wrf_tx_p90: -0.265
  20 mas frescos POR DEBAJO de 400 m (donde se vive):
    lat     lon  altitud  wrf_tx_p90  anom_tx_medio
43.7211 -7.4737      0.4   21.240000          -2.75
43.1402 -9.1800     22.0   21.559999          -2.82
43.7736 -7.6735     11.7   21.590000          -1.91
43.1309 -9.1919      7.3   21.639999          -2.65
43.1219 -9.1916      0.1   21.790001          -2.83
43.1312 -9.1796      7.6   21.830000          -2.81
43.2612 -8.9748      5.0   21.830000          -2.78
43.1222 -9.1793      0.2   21.950001          -2.94
43.2615 -8.9625      8.8   21.969999          -2.93
43.2525 -8.9621     -0.0   21.990000          -3.10
43.0122 -9.2734     28.5   22.010000          -3.31
42.9218 -9.2942     14.0   22.170000          -3.68
42.2191 -8.9011      0.2   22.290001            NaN
42.9765 -9.2596     38.2   22.299999          -3.69
42.9220 -9.2819     28.7   22.330000          -3.43
42.8864 -9.2682      0.3   22.360001            NaN
43.7112 -7.6104      5.8   22.400000          -2.29
43.3754 -7.9520    376.8   22.430000          -4.04
42.9318 -9.2455     36.0   22.459999          -3.36
43.3843 -7.9645    391.9   22.469999          -4.07
