estacion,concello,provincia,alt,serie,n_anios,media_max,max_observada,gumbel_mu,gumbel_sigma,retorno_5a,retorno_10a,retorno_20a,retorno_50a,retorno_20a_p5,retorno_20a_p95,periodo_de_la_maxima,ns_tendencia_dec,ns_p_tendencia,ns_significativa,ns_retorno_20a_2026,ns_retorno_20a_2045,sesgo_estacionario,p_superar_max_30a,lat,lon
10131,MANZANEDA,Ourense,1758.0,temperatura maxima,16,26.44,29.14,25.699,1.291,27.64,28.6,29.53,30.74,28.14,30.48,14.9,2.267,0.0024,True,30.86,35.17,1.33,1.0,42.26016,-7.298315
10138,A VEIGA,Ourense,1762.0,temperatura maxima,16,27.41,31.02,26.63,1.343,28.64,29.65,30.62,31.87,28.77,31.85,26.8,1.784,0.0264,True,31.84,35.23,1.22,1.0,42.207813,-6.89256
10130,CARBALLEDA DE VALDEORRAS,Ourense,1620.0,temperatura maxima,16,28.9,31.11,28.229,1.169,29.98,30.86,31.7,32.79,30.24,32.33,12.3,1.303,0.0834,False,32.68,35.15,0.98,1.0,42.375187,-6.783357
10800,CAMARIÑAS,A Coruña,5.0,temperatura maxima,16,28.75,33.62,27.825,1.6,30.23,31.43,32.58,34.07,30.73,34.28,37.9,-0.438,0.5727,False,31.95,31.12,-0.63,0.288,43.124447,-9.178318
14003,ARTEIXO,A Coruña,5.0,temperatura maxima,13,27.89,32.33,26.536,2.341,30.05,31.8,33.49,35.67,31.18,34.73,12.4,1.79,0.2043,False,34.4,37.8,0.91,1.0,43.34723,-8.531179
10093,MALPICA DE BERGANTIÑOS,A Coruña,161.0,temperatura maxima,16,29.79,34.41,28.86,1.618,31.29,32.5,33.67,35.17,31.75,35.21,31.4,0.434,0.6401,False,34.43,35.25,0.76,0.898,43.336,-8.836423
14000,A CORUÑA,A Coruña,5.0,temperatura maxima,16,29.27,33.32,28.206,1.853,30.98,32.37,33.71,35.43,31.6,34.84,16.3,-0.146,0.8697,False,33.25,32.97,-0.46,0.73,43.36506,-8.374706
10162,VIVEIRO,Lugo,59.0,temperatura maxima,16,30.57,33.28,29.776,1.375,31.84,32.87,33.86,35.14,32.69,34.44,13.3,-0.806,0.2897,False,33.38,31.85,-0.48,0.559,43.630886,-7.630877
10201,PEDRAFITA DO CEBREIRO,Lugo,1330.0,temperatura maxima,13,30.9,32.84,30.171,1.265,32.07,33.02,33.93,35.11,32.85,34.41,8.8,1.365,0.2528,False,35.3,37.89,1.37,1.0,42.7123,-7.125666
10204,CARBALLEDA DE VALDEORRAS,Ourense,1280.0,temperatura maxima,13,31.36,33.65,30.717,1.122,32.4,33.24,34.05,35.09,32.79,34.74,14.2,1.725,0.1452,False,35.55,38.83,1.5,1.0,42.340588,-6.765224
10118,BURELA,Lugo,421.0,temperatura maxima,16,29.69,33.3,28.626,1.837,31.38,32.76,34.08,35.79,32.5,35.03,13.2,2.565,0.0422,True,36.12,40.99,2.04,1.0,43.644855,-7.374807
10104,VIVEIRO,Lugo,545.0,temperatura maxima,16,30.35,34.23,29.345,1.738,31.95,33.25,34.51,36.12,33.05,35.66,17.1,2.166,0.1004,False,36.96,41.07,2.45,1.0,43.660763,-7.562965
10103,FOZ,Lugo,73.0,temperatura maxima,16,30.08,34.82,29.016,1.848,31.79,33.17,34.51,36.23,32.78,35.9,23.6,-3.231,0.0007,True,30.52,24.38,-3.99,0.01,43.558243,-7.278138
10047,RIBADEO,Lugo,51.0,temperatura maxima,16,30.17,35.44,29.076,1.888,31.91,33.33,34.68,36.44,32.72,36.25,29.6,-0.995,0.3208,False,33.76,31.87,-0.92,0.269,43.540714,-7.083024
10062,CERVANTES,Lugo,1364.0,temperatura maxima,16,30.9,35.02,29.909,1.718,32.49,33.78,35.01,36.61,32.89,36.36,20.1,1.861,0.0388,True,36.09,39.62,1.08,1.0,42.820778,-6.922902
10134,RIBEIRA,A Coruña,21.0,temperatura maxima,16,31.66,35.44,30.787,1.508,33.05,34.18,35.27,36.67,33.69,36.49,22.4,-0.543,0.4855,False,34.7,33.67,-0.57,0.433,42.47135,-9.005851
10115,A VEIGA,Ourense,1229.0,temperatura maxima,16,32.39,34.72,31.625,1.332,33.62,34.62,35.58,36.82,34.24,36.33,10.7,2.228,0.0023,True,36.98,41.21,1.4,1.0,42.355392,-7.008639
10097,ORTIGUEIRA,A Coruña,576.0,temperatura maxima,16,30.64,34.97,29.415,2.115,32.59,34.17,35.7,37.67,33.78,37.02,14.3,3.755,0.0137,True,39.19,46.33,3.49,1.0,43.59178,-7.788782
10132,PEDRAFITA DO CEBREIRO,Lugo,1310.0,temperatura maxima,16,32.47,35.09,31.653,1.409,33.77,34.82,35.84,37.15,34.43,36.61,12.0,2.254,0.0014,True,36.85,41.13,1.01,1.0,42.707104,-7.047078
10906,CANGAS,Pontevedra,3.0,temperatura maxima,9,33.33,35.13,32.689,1.103,34.34,35.17,35.97,36.99,34.63,36.49,9.7,,,,,,,,42.260456,-8.782575
10122,RODEIRO,Pontevedra,991.0,temperatura maxima,16,32.68,35.79,31.86,1.426,34.0,35.07,36.09,37.42,34.79,36.79,16.3,1.181,0.1752,False,37.26,39.5,1.17,1.0,42.579758,-7.933075
19037,A VEIGA,Ourense,1217.0,temperatura maxima,16,32.99,36.81,32.2,1.372,34.26,35.29,36.27,37.55,34.57,37.6,29.3,1.918,0.0048,True,37.2,40.84,0.93,1.0,42.211124,-6.991786
10052,LOUSAME,A Coruña,661.0,temperatura maxima,16,32.56,36.34,31.666,1.553,33.99,35.16,36.28,37.72,34.55,37.34,20.8,1.189,0.2974,False,38.01,40.27,1.73,1.0,42.745583,-8.776306
10096,CORISTANCO,A Coruña,540.0,temperatura maxima,16,32.48,36.14,31.552,1.61,33.97,35.17,36.33,37.83,34.8,37.26,17.8,-0.476,0.6023,False,35.84,34.94,-0.49,0.571,43.095192,-8.69099
10092,CEDEIRA,A Coruña,254.0,temperatura maxima,16,32.2,36.06,31.188,1.753,33.82,35.13,36.39,38.03,34.59,37.52,16.6,1.121,0.2299,False,37.33,39.46,0.94,1.0,43.70426,-8.052468
10905,BUEU,Pontevedra,44.0,temperatura maxima,8,32.7,35.37,31.797,1.557,34.13,35.3,36.42,37.87,34.26,37.28,10.4,,,,,,,,42.3396,-8.833798
10133,CUNTIS,Pontevedra,715.0,temperatura maxima,15,32.64,36.02,31.72,1.591,34.11,35.3,36.45,37.93,34.71,37.46,15.4,0.166,0.8701,False,36.43,36.75,-0.02,0.906,42.675583,-8.586177
19015,ABADÍN,Lugo,662.0,temperatura maxima,15,31.86,35.7,30.742,1.944,33.66,35.12,36.51,38.32,34.78,37.69,13.3,3.023,0.0451,True,39.29,45.03,2.78,1.0,43.405445,-7.502042
10088,ABADÍN,Lugo,595.0,temperatura maxima,16,31.33,35.68,30.077,2.177,33.34,34.98,36.54,38.57,34.58,37.77,13.6,3.285,0.0355,True,39.63,45.87,3.09,1.0,43.454594,-7.446248
10202,CHANTADA,Lugo,842.0,temperatura maxima,14,32.97,35.79,32.082,1.533,34.38,35.53,36.63,38.06,35.04,37.4,11.7,1.643,0.0712,False,37.38,40.5,0.75,1.0,42.669987,-7.887967
10057,MACEDA,Ourense,981.0,temperatura maxima,16,33.29,35.74,32.47,1.423,34.6,35.67,36.7,38.02,35.68,37.29,10.5,0.792,0.4073,False,37.94,39.45,1.24,1.0,42.298744,-7.590657
10126,BUEU,Pontevedra,121.0,temperatura maxima,16,32.6,36.72,31.601,1.739,34.21,35.51,36.76,38.38,35.0,37.86,19.5,0.793,0.4491,False,37.65,39.16,0.89,0.995,42.382084,-8.936188
10085,VILANOVA DE AROUSA,Pontevedra,3.0,temperatura maxima,16,33.47,36.43,32.652,1.418,34.78,35.84,36.86,38.18,35.57,37.76,14.9,0.99,0.3503,False,38.4,40.28,1.54,1.0,42.580074,-8.804707
10157,A CORUÑA,A Coruña,21.0,temperatura maxima,10,31.56,35.0,30.278,2.215,33.6,35.26,36.86,38.92,34.11,37.67,8.9,0.689,0.7138,False,36.97,38.27,0.11,0.999,43.382763,-8.409202
10153,VIMIANZO,A Coruña,405.0,temperatura maxima,16,32.61,37.09,31.576,1.79,34.26,35.6,36.89,38.56,34.76,38.21,22.3,0.22,0.7957,False,36.84,37.26,-0.05,0.801,43.10812,-9.056941
