lat,lon,tx_verano_clim,tx_verano_tend,tx_p99_clim,tx_p99_tend
41.749,-6.536,28.55,0.263,35.19,0.351
41.799,-6.536,28.32,0.265,34.95,0.361
41.831,-8.147,22.89,0.291,29.89,0.453
41.832,-8.08,21.85,0.238,28.55,0.393
41.839,-7.61,25.42,0.285,32.25,0.442
41.84,-7.543,27.2,0.3,34.23,0.407
41.842,-7.409,28.12,0.293,35.21,0.397
41.879,-8.216,25.08,0.321,32.58,0.443
41.88,-8.149,25.18,0.321,32.65,0.441
41.882,-8.081,24.38,0.308,31.59,0.454
41.883,-8.014,22.94,0.266,29.78,0.433
41.884,-7.947,22.55,0.224,29.13,0.392
41.885,-7.88,22.39,0.206,28.9,0.382
41.886,-7.813,22.54,0.208,29.07,0.387
41.888,-7.679,24.26,0.27,30.91,0.432
41.889,-7.612,25.73,0.289,32.59,0.441
41.89,-7.544,27.35,0.301,34.44,0.411
41.891,-7.477,28.44,0.303,35.55,0.398
41.892,-7.41,28.21,0.295,35.29,0.397
41.892,-7.343,26.92,0.29,33.87,0.407
41.893,-7.276,26.22,0.285,33.09,0.398
41.894,-7.209,26.49,0.282,33.37,0.389
41.899,-6.537,27.37,0.27,33.9,0.381
41.931,-8.15,25.4,0.32,32.85,0.447
41.932,-8.083,25.81,0.319,33.24,0.446
41.933,-8.016,24.84,0.304,32.01,0.446
41.934,-7.949,23.8,0.276,30.7,0.448
41.935,-7.882,23.11,0.259,29.81,0.419
41.936,-7.814,22.98,0.246,29.61,0.407
41.937,-7.747,23.36,0.26,29.98,0.421
41.938,-7.68,24.48,0.279,31.23,0.449
41.939,-7.613,25.8,0.288,32.74,0.432
41.94,-7.546,27.18,0.3,34.3,0.411
41.941,-7.478,28.38,0.303,35.52,0.393
41.942,-7.411,28.02,0.291,35.14,0.397
41.942,-7.344,26.51,0.281,33.47,0.4
41.943,-7.277,26.12,0.278,32.95,0.399
41.944,-7.21,26.31,0.277,33.15,0.389
41.946,-6.941,26.03,0.263,32.54,0.383
41.947,-6.874,25.38,0.246,31.85,0.381
41.948,-6.739,25.88,0.253,32.3,0.387
41.948,-6.672,26.8,0.265,33.31,0.392
41.949,-6.538,27.2,0.271,33.64,0.397
41.966,-8.824,25.15,0.259,32.81,0.391
41.968,-8.757,26.2,0.246,33.66,0.388
41.98,-8.152,22.94,0.276,29.91,0.444
41.982,-8.085,24.04,0.3,31.16,0.453
41.983,-8.017,24.03,0.3,31.22,0.444
41.984,-7.95,23.52,0.293,30.64,0.435
41.985,-7.883,24.06,0.286,31.02,0.437
41.986,-7.816,24.14,0.282,31.05,0.439
41.987,-7.748,24.77,0.287,31.7,0.434
41.988,-7.681,25.26,0.291,32.23,0.436
41.989,-7.614,25.52,0.29,32.49,0.43
41.99,-7.547,26.61,0.296,33.71,0.409
41.991,-7.48,27.51,0.297,34.65,0.397
41.992,-7.412,27.4,0.292,34.48,0.412
41.992,-7.345,26.09,0.28,32.97,0.416
41.993,-7.278,26.1,0.274,32.86,0.406
41.994,-7.211,26.27,0.272,33.0,0.399
41.995,-7.143,25.98,0.265,32.64,0.397
41.995,-7.076,25.51,0.263,32.09,0.39
41.996,-7.009,25.19,0.246,31.71,0.376
41.996,-6.942,24.58,0.216,31.04,0.337
41.997,-6.874,23.57,0.168,30.03,0.293
41.997,-6.807,23.16,0.163,29.62,0.28
41.998,-6.74,24.91,0.234,31.31,0.348
41.998,-6.673,26.59,0.26,33.01,0.398
41.998,-6.605,27.1,0.27,33.54,0.41
41.999,-6.538,26.39,0.268,32.78,0.402
42.016,-8.826,24.02,0.277,31.93,0.451
42.018,-8.759,25.41,0.271,33.14,0.436
42.02,-8.692,26.67,0.248,34.07,0.408
42.032,-8.086,21.92,0.227,28.61,0.418
42.033,-8.019,23.24,0.271,30.14,0.444
42.034,-7.952,24.21,0.288,31.25,0.444
42.035,-7.884,24.73,0.289,31.84,0.441
42.036,-7.817,25.39,0.298,32.57,0.423
42.037,-7.75,25.94,0.302,33.15,0.427
42.038,-7.683,25.89,0.302,33.07,0.425
42.039,-7.615,25.71,0.291,32.76,0.422
42.04,-7.548,25.86,0.292,32.93,0.412
42.041,-7.481,26.36,0.293,33.45,0.409
42.042,-7.413,26.32,0.285,33.32,0.425
42.042,-7.346,25.36,0.268,32.16,0.427
42.043,-7.279,25.51,0.262,32.23,0.417
42.044,-7.212,25.76,0.263,32.44,0.403
42.044,-7.144,25.46,0.26,32.09,0.402
42.045,-7.077,24.68,0.235,31.22,0.366
42.046,-7.01,23.81,0.194,30.29,0.328
42.046,-6.942,22.57,0.124,29.06,0.238
42.047,-6.875,21.33,0.05,27.8,0.16
42.047,-6.808,22.22,0.087,28.68,0.194
42.048,-6.74,24.42,0.218,30.81,0.332
42.048,-6.673,26.17,0.26,32.63,0.39
42.048,-6.606,26.53,0.267,33.0,0.41
42.049,-6.538,26.23,0.266,32.68,0.405
42.066,-8.828,23.44,0.273,31.38,0.449
42.068,-8.761,24.44,0.281,32.32,0.468
42.069,-8.694,25.75,0.272,33.44,0.433
42.071,-8.626,26.99,0.252,34.32,0.404
42.072,-8.559,27.79,0.253,34.99,0.381
42.081,-8.155,22.04,0.254,28.97,0.438
42.082,-8.088,21.91,0.241,28.65,0.43
42.083,-8.02,22.77,0.262,29.63,0.444
42.084,-7.953,23.92,0.284,30.97,0.431
42.085,-7.886,24.78,0.291,31.95,0.422
42.086,-7.818,25.59,0.301,32.85,0.428
42.087,-7.751,26.02,0.297,33.31,0.428
42.088,-7.684,25.79,0.296,32.99,0.418
42.089,-7.616,25.74,0.288,32.83,0.409
42.09,-7.549,25.45,0.282,32.44,0.41
42.091,-7.482,25.3,0.273,32.18,0.435
42.092,-7.414,24.39,0.257,31.11,0.425
42.092,-7.347,24.2,0.228,30.84,0.394
42.093,-7.28,24.73,0.245,31.36,0.4
42.094,-7.212,25.09,0.262,31.75,0.407
42.094,-7.145,25.54,0.259,32.19,0.408
42.095,-7.078,24.2,0.23,30.73,0.367
42.096,-7.01,22.69,0.144,29.2,0.275
42.096,-6.943,21.1,0.03,27.59,0.14
42.097,-6.876,19.76,-0.052,26.21,0.044
42.097,-6.808,20.6,0.008,27.08,0.1
42.098,-6.741,23.65,0.165,30.09,0.29
42.098,-6.674,25.51,0.246,31.93,0.384
42.099,-6.606,25.99,0.254,32.43,0.396
42.099,-6.539,25.96,0.246,32.4,0.384
42.116,-8.83,23.41,0.249,31.13,0.412
42.118,-8.763,24.03,0.271,31.9,0.461
42.119,-8.696,24.82,0.278,32.64,0.465
42.121,-8.628,26.5,0.265,34.01,0.422
42.122,-8.561,27.57,0.251,34.63,0.374
42.124,-8.494,27.73,0.253,34.86,0.392
42.125,-8.426,26.82,0.289,34.29,0.429
42.127,-8.359,26.18,0.29,33.76,0.446
42.13,-8.157,24.71,0.301,32.27,0.457
42.132,-8.089,23.95,0.29,31.28,0.456
42.133,-8.022,24.16,0.293,31.41,0.438
42.134,-7.955,24.75,0.295,32.05,0.427
42.135,-7.887,25.12,0.299,32.44,0.418
42.136,-7.82,25.21,0.293,32.48,0.421
42.137,-7.753,25.55,0.295,32.8,0.42
42.138,-7.685,26.03,0.296,33.28,0.413
42.139,-7.618,25.66,0.284,32.81,0.401
42.14,-7.55,24.94,0.271,31.87,0.42
42.141,-7.483,23.55,0.24,30.24,0.402
42.142,-7.416,22.46,0.157,29.01,0.324
42.142,-7.348,22.28,0.124,28.81,0.277
42.143,-7.281,23.0,0.169,29.54,0.323
42.144,-7.213,24.5,0.254,31.12,0.398
42.145,-7.146,25.64,0.259,32.37,0.405
42.145,-7.079,24.83,0.256,31.41,0.389
42.146,-7.011,22.88,0.163,29.38,0.303
42.146,-6.944,20.94,0.028,27.45,0.128
42.147,-6.876,19.51,-0.082,25.95,-0.01
42.147,-6.809,19.44,-0.085,25.86,-0.013
42.148,-6.742,21.34,0.045,27.84,0.143
42.148,-6.674,23.4,0.157,29.89,0.281
42.148,-6.607,23.93,0.188,30.41,0.305
42.149,-6.539,23.71,0.164,30.22,0.278
42.166,-8.833,22.33,0.231,29.63,0.363
42.168,-8.765,24.06,0.25,31.68,0.417
42.169,-8.698,24.62,0.271,32.38,0.449
42.171,-8.63,25.8,0.275,33.45,0.429
42.172,-8.563,26.85,0.26,34.21,0.409
42.174,-8.496,27.14,0.267,34.46,0.425
42.175,-8.428,25.98,0.293,33.61,0.444
42.177,-8.361,24.8,0.298,32.53,0.439
42.178,-8.293,25.3,0.302,32.97,0.456
42.179,-8.226,26.38,0.294,33.86,0.449
42.18,-8.158,26.78,0.297,34.21,0.444
42.182,-8.091,26.12,0.303,33.65,0.459
42.183,-8.024,25.91,0.304,33.43,0.456
42.184,-7.956,26.13,0.299,33.62,0.44
42.185,-7.889,25.73,0.299,33.11,0.428
42.186,-7.821,25.44,0.295,32.77,0.417
42.187,-7.754,25.69,0.293,32.98,0.414
42.188,-7.686,25.91,0.297,33.18,0.402
42.189,-7.619,25.6,0.284,32.78,0.387
42.19,-7.552,24.35,0.265,31.23,0.413
42.191,-7.484,22.54,0.185,29.17,0.363
