estacion,n_anios,anio_ini,anio_fin,d_tx30_sen_dec,d_tx30_p,d_tx30_salto,d_tx32_sen_dec,d_tx32_p,d_tx32_salto,d_tx35_sen_dec,d_tx35_p,d_tx35_salto,tx_p99_sen_dec,tx_p99_p,tx_p99_salto,tx_verano_sen_dec,tx_verano_p,tx_verano_salto,noches_trop_sen_dec,noches_trop_p,noches_trop_salto,tmean_sen_dec,tmean_p,tmean_salto,d_helada_sen_dec,d_helada_p,d_helada_salto,hx_p99_sen_dec,hx_p99_p,hx_p99_salto,d_hx35_sen_dec,d_hx35_p,d_hx35_salto,id,concello,provincia,lat,lon,alt
10045,16,2010,2025,1.325,0.5231,0.88,1.484,0.2537,1.38,0.0,0.4175,0.12,0.835,0.3502,0.82,1.301,0.0641,0.6,0.0,0.5876,-0.12,0.794,0.0033,0.46,1.841,0.8925,1.38,4.583,0.0326,3.71,22.917,0.0022,16.25,10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
10046,16,2010,2025,2.857,0.0621,1.88,0.871,0.0718,1.12,0.0,0.1218,0.12,1.716,0.1949,1.34,1.279,0.0413,0.69,0.0,0.5107,0.25,0.937,0.0033,0.57,-2.5,0.1595,-3.38,3.588,0.0152,3.07,8.75,0.0237,6.62,10046,MONFERO,A Coruña,43.343082,-7.8944,651.0
10047,16,2010,2025,0.0,0.464,-0.38,0.0,0.2528,0.12,0.0,0.9136,-0.12,-0.775,0.265,-0.32,0.271,0.2281,0.15,0.0,0.1028,0.75,0.704,0.0024,0.51,0.0,0.0983,-0.38,0.867,0.3984,1.08,2.5,0.2766,2.88,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
10048,16,2010,2025,-1.0,0.9641,-3.25,0.0,0.892,-2.88,0.0,0.2752,0.38,0.359,0.4503,-0.41,0.561,0.5056,-0.42,0.0,,0.0,0.638,0.0413,0.2,-11.465,0.116,-8.88,1.52,0.0788,0.44,12.54,0.114,5.25,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
10049,16,2010,2025,0.0,0.7848,-0.62,0.0,0.9276,0.0,0.0,0.9597,0.12,0.432,0.6901,0.32,0.931,0.096,0.67,0.0,0.582,-0.12,0.531,0.0198,0.41,0.0,,0.0,0.637,0.7566,0.39,5.0,0.299,2.75,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
10050,16,2010,2025,0.0,0.679,0.38,1.056,0.2477,0.5,0.0,0.3998,0.38,0.953,0.3502,0.45,0.827,0.116,0.3,0.0,0.0362,1.5,0.737,0.0011,0.58,0.0,0.0302,-0.62,1.229,0.5643,0.6,-4.222,0.4695,-4.12,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
10052,16,2010,2025,0.0,0.6474,0.0,0.0,0.8473,0.12,0.0,0.6338,0.0,0.227,0.9647,-0.08,1.04,0.1949,0.49,0.333,0.491,0.62,1.088,0.0017,0.68,-5.505,0.0053,-5.25,1.825,0.1653,0.93,5.0,0.2056,2.25,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
10053,16,2010,2025,6.077,0.0452,6.25,6.833,0.0238,5.25,1.833,0.0954,1.62,1.869,0.0255,1.77,1.781,0.0046,0.99,0.0,0.5876,-0.12,0.971,0.0046,0.63,-5.0,0.2976,-1.88,5.989,0.0046,5.11,22.679,0.0129,17.88,10053,LUGO,Lugo,42.992695,-7.546897,400.0
10055,16,2010,2025,2.222,0.2547,1.12,0.0,0.2975,0.88,0.0,0.1331,0.38,1.497,0.1949,0.92,1.149,0.0255,0.36,0.0,0.3191,0.12,0.845,0.0086,0.49,-5.727,0.0461,-3.12,2.693,0.1653,1.65,2.083,0.5875,0.88,10055,VILALBA,Lugo,43.226593,-7.783072,684.0
10056,16,2010,2025,2.679,0.6512,0.62,3.875,0.4158,1.25,1.667,0.233,0.88,1.086,0.3502,0.45,0.6,0.5056,-0.05,0.885,0.1423,0.88,0.541,0.116,0.26,-3.81,0.2766,-3.62,3.013,0.0517,1.61,5.857,0.3896,4.12,10056,MONFORTE DE LEMOS,Lugo,42.473194,-7.501777,645.0
10057,16,2010,2025,3.125,0.2579,2.38,2.0,0.0245,2.5,0.0,0.0193,0.5,1.25,0.3502,0.7,1.423,0.096,0.54,0.801,0.2635,1.0,1.05,0.0046,0.52,-12.788,0.0004,-9.5,3.162,0.0046,2.15,15.0,0.01,8.5,10057,MACEDA,Ourense,42.298744,-7.590657,981.0
10058,16,2010,2025,6.25,0.1251,3.25,10.0,0.2237,3.88,5.278,0.1452,2.38,1.268,0.139,0.55,1.597,0.0788,0.24,0.0,0.0316,1.25,0.784,0.0115,0.49,-7.917,0.2065,-4.62,2.195,0.0788,0.92,4.083,0.6844,-2.25,10058,VERÍN,Ourense,41.97433,-7.398772,546.0
10060,16,2010,2025,4.643,0.2789,4.5,3.485,0.3396,2.38,0.417,0.4315,0.75,0.997,0.265,1.02,1.125,0.3057,0.43,0.0,0.55,0.0,0.748,0.0152,0.41,-2.857,0.0229,-3.25,4.927,0.0046,3.91,17.596,0.0788,14.62,10060,TUI,Pontevedra,42.0786,-8.679444,484.0
10061,16,2010,2025,3.333,0.5277,3.0,3.375,0.2353,2.75,1.667,0.086,1.38,0.522,0.4503,0.46,1.127,0.1653,0.41,0.0,,0.0,0.907,0.0017,0.64,-11.742,0.1044,-8.38,2.962,0.0517,2.07,6.571,0.2789,3.25,10061,LALÍN,Pontevedra,42.614384,-8.137295,500.0
10062,16,2010,2025,3.333,0.0068,3.75,0.0,0.0057,2.0,0.0,0.1037,0.12,1.909,0.0641,1.25,1.752,0.0198,0.96,1.667,0.1175,2.12,1.185,0.0024,0.68,-30.0,0.0215,-16.25,4.23,0.0008,2.49,4.451,0.0013,4.38,10062,CERVANTES,Lugo,42.820778,-6.922902,1364.0
10064,16,2010,2025,-3.333,0.4155,-3.38,-1.389,0.6186,-1.62,-1.056,0.2862,-0.88,-0.562,0.5643,-0.52,0.276,0.4503,-0.29,0.0,0.8403,0.0,0.351,0.096,0.12,-1.603,0.2324,-1.62,0.925,0.5056,-0.05,-1.111,0.7519,-3.75,10064,PONTEVEDRA,Pontevedra,42.40924,-8.664094,52.0
10067,16,2010,2025,3.542,0.4158,0.75,2.111,0.4149,0.5,0.0,0.3191,0.5,1.121,0.4503,0.79,1.256,0.096,0.52,-1.603,0.4973,-1.12,0.877,0.0326,0.5,0.0,0.1507,-0.25,3.611,0.0463,2.18,16.667,0.0064,12.09,10067,POIO,Pontevedra,42.458405,-8.722065,515.0
10085,16,2010,2025,-0.917,0.5542,-1.12,0.0,0.7451,-0.12,0.0,0.8401,-0.12,-0.066,0.9647,-0.06,0.421,0.3984,0.01,0.0,0.2777,0.62,0.531,0.0413,0.29,0.0,,0.0,1.032,0.5643,0.29,-4.167,0.3896,-2.38,10085,VILANOVA DE AROUSA,Pontevedra,42.580074,-8.804707,3.0
10086,16,2010,2025,1.325,0.6512,0.38,0.0,0.7838,0.5,0.0,0.6889,0.0,0.537,0.6259,0.15,1.125,0.2281,0.25,3.542,0.32,2.25,0.835,0.0017,0.47,-3.542,0.1673,-3.88,2.236,0.116,1.43,8.73,0.1891,4.0,10086,FORNELOS DE MONTES,Pontevedra,42.315304,-8.400214,705.0
10087,16,2010,2025,-3.333,0.112,-2.75,-1.111,0.3373,-2.0,0.0,0.4013,-0.5,-1.236,0.265,-1.13,-0.087,0.8944,-0.43,0.0,0.329,0.25,0.183,0.3502,0.01,0.0,0.8914,-1.62,-1.586,0.3984,-1.58,-4.143,0.3416,-3.0,10087,SANTA COMBA,A Coruña,42.968616,-8.868301,369.0
10088,16,2010,2025,1.27,0.0963,0.75,0.0,0.4438,0.12,0.0,0.329,0.12,0.631,0.3984,-0.4,0.786,0.2281,-0.04,0.0,0.9136,-0.12,0.496,0.0046,0.22,0.0,0.9276,1.75,1.225,0.6901,-0.43,0.455,0.6822,0.12,10088,ABADÍN,Lugo,43.454594,-7.446248,595.0
10089,16,2010,2025,8.452,0.2386,6.25,6.696,0.0522,5.38,2.111,0.0447,2.62,1.849,0.0255,1.59,1.965,0.0086,1.13,0.0,0.329,0.12,0.771,0.0046,0.45,1.603,0.7517,2.5,5.76,0.0017,3.82,18.452,0.0029,13.88,10089,MELIDE,A Coruña,42.907383,-7.982653,477.0
10091,16,2010,2025,1.909,0.5875,1.25,0.385,0.552,1.0,0.0,0.6377,0.25,0.811,0.5056,0.88,0.879,0.3502,0.32,-0.871,0.4627,-0.88,0.62,0.0115,0.36,0.0,0.0795,-1.5,1.889,0.139,1.49,7.417,0.0774,7.0,10091,OIA,Pontevedra,41.99327,-8.864355,480.0
10092,16,2010,2025,0.0,0.4473,0.0,0.0,0.8834,-0.12,0.0,0.1123,0.25,0.034,1.0,-0.17,1.006,0.096,0.37,0.0,0.2792,0.12,0.845,0.0005,0.57,0.0,,0.0,1.823,0.2281,1.18,2.614,0.0891,1.88,10092,CEDEIRA,A Coruña,43.70426,-8.052468,254.0
10093,16,2010,2025,0.0,0.5054,-0.25,0.0,0.204,0.25,0.0,,0.0,0.107,0.8944,-0.59,1.104,0.0033,0.7,0.0,0.2328,0.12,0.914,0.0002,0.67,0.0,,0.0,0.982,0.265,1.11,1.214,0.4341,2.12,10093,MALPICA DE BERGANTIÑOS,A Coruña,43.336,-8.836423,161.0
10094,16,2010,2025,1.458,0.412,1.0,0.0,1.0,-0.38,0.0,0.1499,0.12,0.896,0.6259,0.56,1.037,0.0788,0.51,0.0,0.329,0.12,1.252,0.0002,0.88,-7.778,0.0068,-7.25,3.175,0.096,1.98,8.0,0.1036,8.5,10094,MESÍA,A Coruña,43.12481,-8.279388,401.0
